# arch	numCUs	testVector	perfConfig (exhaustive)
gfx908:sramecc+:xnack-	120	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 384 -n 3072 -k 1024	128,64,8,32,64,8,1,1
gfx908:sramecc+:xnack-	120	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 384 -n 4096 -k 1024	128,64,8,32,64,8,1,1
gfx908:sramecc+:xnack-	120	-t f16 -out_datatype f16 -transA false -transB true -g 16 -m 384 -n 384 -k 64	64,128,4,64,32,8,1,1
gfx908:sramecc+:xnack-	120	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 24576 -n 2 -k 768	128,16,8,64,16,8,1,1
gfx908:sramecc+:xnack-	120	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 24576 -n 3072 -k 768	128,128,4,64,64,8,1,1
gfx908:sramecc+:xnack-	120	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 24576 -n 768 -k 3072	128,128,4,64,64,8,1,1
gfx908:sramecc+:xnack-	120	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 24576 -n 768 -k 768	128,128,4,64,64,8,1,1
gfx908:sramecc+:xnack-	120	-t f16 -out_datatype f16 -transA false -transB false -g 64 -m 384 -n 2304 -k 768	128,128,4,64,64,8,1,1
gfx908:sramecc+:xnack-	120	-t f16 -out_datatype f16 -transA false -transB false -g 768 -m 384 -n 64 -k 384	128,64,8,32,64,8,1,1
gfx908:sramecc+:xnack-	120	-t f16 -out_datatype f16 -transA false -transB true -g 768 -m 384 -n 384 -k 64	64,64,8,32,32,8,1,1
gfx908:sramecc+:xnack-	120	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 64 -n 768 -k 768	16,32,8,16,16,8,1,1
gfx908:sramecc+:xnack-	120	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 24576 -n 1024 -k 1024	128,128,4,64,64,8,1,1
gfx908:sramecc+:xnack-	120	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 24576 -n 1024 -k 4096	128,256,4,64,128,8,1,1
gfx908:sramecc+:xnack-	120	-t f16 -out_datatype f16 -transA false -transB false -g 1 -m 24576 -n 4096 -k 1024	256,128,4,128,64,8,1,1
gfx908:sramecc+:xnack-	120	-t f16 -out_datatype f16 -transA false -transB false -g 64 -m 384 -n 3072 -k 1024	128,128,4,64,64,8,1,1
gfx908:sramecc+:xnack-	120	-t f16 -out_datatype f16 -transA false -transB true -g 1024 -m 384 -n 384 -k 64	64,128,8,64,32,8,1,1
